ID,Name_lang,CovenantID,GarrTalentTreeID,CreatureID,GarrFollowerID,PlayerConditionID
1,Niya,3,276,164729,1265,84491
2,Dreamweaver,3,275,164387,1264,84497
3,General Draven,2,304,165028,1209,84407
4,Plague Deviser Marileth,4,325,165722,1261,84500
5,Emeni,4,330,166122,1263,84501
6,Korayn,3,334,166788,1266,84498
7,Pelagos,1,357,168710,1259,84478
8,Nadjia the Mistblade,2,368,164748,1208,84410
9,Theotar the Mad Duke,2,392,165031,1210,84409
10,Bonesmith Heirmir,4,349,167614,1262,84502
13,Kleia,1,360,169437,1260,84479
18,Forgelite Prime Mikanikos,1,365,170128,1258,84480
